	CreationYear	ListingCategory..numeric.	total_loan	Avg_Inc	Count_Category_Num
1	2005	0	88687	9166.666667	23
2	2006	0	30100789	3750	6213
3	2007	0	75795140	3813.333333	10709
4	2007	1	2763913	4483.083333	382
5	2007	2	266002	4558.166667	28
6	2007	3	1479424	4270.916667	157
7	2007	4	981145	3759.8333335	208
8	2007	5	65504	2520.4166665	20
9	2007	6	80800	4583.333333	13
10	2007	7	239000	4791.6666665	40
11	2008	1	29341853	4000	4733
12	2008	2	4220763	4583.333333	602
13	2008	3	15313187	4191.666667	1731
14	2008	4	9932081	3709.333333	2187
15	2008	5	1779746	2500	460
16	2008	6	1413701	3083	321
17	2008	7	5179067	3916.666667	1229
18	2009	1	5254934	4902.0833335	1022
19	2009	2	946025	5000	212
20	2009	3	1202295	4583.333333	219
21	2009	5	336634	2883.333333	131
22	2009	6	373250	3916.666667	131
23	2009	7	1578875	4232.25	491
24	2010	1	14142928	4612.5	2614
25	2010	2	2867907	5308.4166665	522
26	2010	3	3073843	4956.5	546
27	2010	5	475130	2666.666667	145
28	2010	6	1036799	4000	291
29	2010	7	5178975	4250	1412
30	2011	0	44505	4336	9
31	2011	1	39777252	4583.333333	5486
32	2011	2	8705673	5185.75	1267
33	2011	3	9397601	4686.416667	1227
34	2011	6	3144656	3833.333333	658
35	2011	7	15186396	4500	2709
36	2011	8	9500	4583.333333	3
37	2011	11	36000	4250	7
38	2011	12	11500	4083.333333	3
39	2011	13	77100	4333.333333	21
40	2011	14	84600	5208.3333335	8
41	2011	15	90000	6500	19
42	2011	16	4000	5833.333333	1
43	2011	18	46000	4166.666667	9
44	2011	19	50000	5708.333333	8
45	2011	20	47000	5750	7
46	2012	0	16000	3541.6666665	4
47	2012	1	83400414	4791.666667	9366
48	2012	2	16824155	5166.666667	2147
49	2012	3	14976841	4833.333333	1669
50	2012	6	3479113	3666.666667	643
51	2012	7	11378131	4257.0833335	1800
52	2012	8	557628	5000	74
53	2012	9	346350	4583.333333	47
54	2012	10	358551	3908.3333335	68
55	2012	11	840616	5000	120
56	2012	12	203739	3833.333333	29
57	2012	13	5595050	4166.666667	1129
58	2012	14	2416841	4583.333333	306
59	2012	15	4422521	4500	734
60	2012	16	1039184	4166.666667	197
61	2012	17	233000	4286.375	30
62	2012	18	2905348	5950	443
63	2012	19	2147283	4583.333333	400
64	2012	20	2892404	4958.3333335	350
65	2013	0	26500	4187.5	6
66	2013	1	292503791	5250	25762
67	2013	2	21151269	5833.333333	2202
68	2013	3	14703600	5833.333333	1309
69	2013	6	2667696	4250	422
70	2013	7	15649706	4750	2032
71	2013	8	1117400	5906.25	101
72	2013	9	350150	5833.333333	32
73	2013	10	158649	4333.333333	23
74	2013	11	590901	5916.666667	73
75	2013	12	211199	6016.666667	21
76	2013	13	3940626	4750	708
77	2013	14	3645123	5416.666667	417
78	2013	15	4105365	4975	603
79	2013	16	566750	4718.333333	94
80	2013	17	129736	6833.333333	15
81	2013	18	2854909	6250	344
82	2013	19	1627117	4708.333333	307
83	2013	20	2930341	5166.666667	320
84	2014	0	25000	10833.333333	1
85	2014	1	102624086	5416.666667	8259
86	2014	2	4656872	6000	408
87	2014	3	3679400	5833.333333	299
88	2014	6	627150	4500	89
89	2014	7	7268975	5250	735
90	2014	8	232500	5441.875	18
91	2014	9	45900	5220.75	6
92	2014	11	149100	5526.0416665	14
93	2014	12	57500	4166.666667	5
94	2014	13	866600	4708.333333	129
95	2014	14	1415623	5000	132
96	2014	15	1164650	5000	151
97	2014	16	80552	4966.6666665	12
98	2014	17	61000	6166.666667	7
99	2014	18	853420	6250	86
100	2014	19	272310	5250	49
101	2014	20	852100	5000	85
