CreationYear,ListingCategory..numeric.,Total Loan Amount,Avg Applicant Monthly Income,Average Loan Size,Number Of Loans,Debt Category
2007,1,2763913,4483.083333,5500,382,Debt Consolidation
2007,2,266002,4558.166667,7250,28,Home Improvement
2007,6,80800,4583.333333,6000,13,Auto
2008,1,29341853,4000,5000,4733,Debt Consolidation
2008,2,4220763,4583.333333,5000,602,Home Improvement
2008,6,1413701,3083,3700,321,Auto
2009,1,5254934,4902.0833335,4000,1022,Debt Consolidation
2009,2,946025,5000,3000,212,Home Improvement
2009,6,373250,3916.666667,2000,131,Auto
2010,1,14142928,4612.5,4500,2614,Debt Consolidation
2010,2,2867907,5308.4166665,4225,522,Home Improvement
2010,6,1036799,4000,2600,291,Auto
2011,1,39777252,4583.333333,6500,5486,Debt Consolidation
2011,2,8705673,5185.75,5500,1267,Home Improvement
2011,6,3144656,3833.333333,4000,658,Auto
2011,15,90000,6500,3000,19,Medical_Dental
2011,16,4000,5833.333333,4000,1,Motorcycle
2011,18,46000,4166.666667,4000,9,Taxes
2011,19,50000,5708.333333,5000,8,Vacation
2011,20,47000,5750,6000,7,Wedding
2012,1,83400414,4791.666667,7500,9366,Debt Consolidation
2012,2,16824155,5166.666667,5500,2147,Home Improvement
2012,6,3479113,3666.666667,4000,643,Auto
2012,15,4422521,4500,4000,734,Medical_Dental
2012,16,1039184,4166.666667,4000,197,Motorcycle
2012,17,233000,4286.375,4750,30,RV
2012,18,2905348,5950,4000,443,Taxes
2012,19,2147283,4583.333333,4000,400,Vacation
2012,20,2892404,4958.3333335,7000,350,Wedding
2013,1,292503791,5250,10000,25762,Debt Consolidation
2013,2,21151269,5833.333333,9000,2202,Home Improvement
2013,6,2667696,4250,4000,422,Auto
2013,15,4105365,4975,5000,603,Medical_Dental
2013,16,566750,4718.333333,4000,94,Motorcycle
2013,17,129736,6833.333333,7000,15,RV
2013,18,2854909,6250,6000,344,Taxes
2013,19,1627117,4708.333333,4000,307,Vacation
2013,20,2930341,5166.666667,8000,320,Wedding
2014,1,102624086,5416.666667,11100,8259,Debt Consolidation
2014,2,4656872,6000,10000,408,Home Improvement
2014,6,627150,4500,6000,89,Auto
2014,15,1164650,5000,6500,151,Medical_Dental
2014,16,80552,4966.6666665,5976,12,Motorcycle
2014,17,61000,6166.666667,6000,7,RV
2014,18,853420,6250,8000,86,Taxes
2014,19,272310,5250,4500,49,Vacation
2014,20,852100,5000,10000,85,Wedding
