CreationYear,ListingCategory..numeric.,total_loan,Avg_Inc,Count_Category_Num
2005,0,88687,9166.666667,23
2006,0,30100789,3750,6213
2007,0,75795140,3813.333333,10709
2007,1,2763913,4483.083333,382
2007,2,266002,4558.166667,28
2007,3,1479424,4270.916667,157
2007,4,981145,3759.8333335,208
2007,5,65504,2520.4166665,20
2007,6,80800,4583.333333,13
2007,7,239000,4791.6666665,40
2008,1,29341853,4000,4733
2008,2,4220763,4583.333333,602
2008,3,15313187,4191.666667,1731
2008,4,9932081,3709.333333,2187
2008,5,1779746,2500,460
2008,6,1413701,3083,321
2008,7,5179067,3916.666667,1229
2009,1,5254934,4902.0833335,1022
2009,2,946025,5000,212
2009,3,1202295,4583.333333,219
2009,5,336634,2883.333333,131
2009,6,373250,3916.666667,131
2009,7,1578875,4232.25,491
2010,1,14142928,4612.5,2614
2010,2,2867907,5308.4166665,522
2010,3,3073843,4956.5,546
2010,5,475130,2666.666667,145
2010,6,1036799,4000,291
2010,7,5178975,4250,1412
2011,0,44505,4336,9
2011,1,39777252,4583.333333,5486
2011,2,8705673,5185.75,1267
2011,3,9397601,4686.416667,1227
2011,6,3144656,3833.333333,658
2011,7,15186396,4500,2709
2011,8,9500,4583.333333,3
2011,11,36000,4250,7
2011,12,11500,4083.333333,3
2011,13,77100,4333.333333,21
2011,14,84600,5208.3333335,8
2011,15,90000,6500,19
2011,16,4000,5833.333333,1
2011,18,46000,4166.666667,9
2011,19,50000,5708.333333,8
2011,20,47000,5750,7
2012,0,16000,3541.6666665,4
2012,1,83400414,4791.666667,9366
2012,2,16824155,5166.666667,2147
2012,3,14976841,4833.333333,1669
2012,6,3479113,3666.666667,643
2012,7,11378131,4257.0833335,1800
2012,8,557628,5000,74
2012,9,346350,4583.333333,47
2012,10,358551,3908.3333335,68
2012,11,840616,5000,120
2012,12,203739,3833.333333,29
2012,13,5595050,4166.666667,1129
2012,14,2416841,4583.333333,306
2012,15,4422521,4500,734
2012,16,1039184,4166.666667,197
2012,17,233000,4286.375,30
2012,18,2905348,5950,443
2012,19,2147283,4583.333333,400
2012,20,2892404,4958.3333335,350
2013,0,26500,4187.5,6
2013,1,292503791,5250,25762
2013,2,21151269,5833.333333,2202
2013,3,14703600,5833.333333,1309
2013,6,2667696,4250,422
2013,7,15649706,4750,2032
2013,8,1117400,5906.25,101
2013,9,350150,5833.333333,32
2013,10,158649,4333.333333,23
2013,11,590901,5916.666667,73
2013,12,211199,6016.666667,21
2013,13,3940626,4750,708
2013,14,3645123,5416.666667,417
2013,15,4105365,4975,603
2013,16,566750,4718.333333,94
2013,17,129736,6833.333333,15
2013,18,2854909,6250,344
2013,19,1627117,4708.333333,307
2013,20,2930341,5166.666667,320
2014,0,25000,10833.333333,1
2014,1,102624086,5416.666667,8259
2014,2,4656872,6000,408
2014,3,3679400,5833.333333,299
2014,6,627150,4500,89
2014,7,7268975,5250,735
2014,8,232500,5441.875,18
2014,9,45900,5220.75,6
2014,11,149100,5526.0416665,14
2014,12,57500,4166.666667,5
2014,13,866600,4708.333333,129
2014,14,1415623,5000,132
2014,15,1164650,5000,151
2014,16,80552,4966.6666665,12
2014,17,61000,6166.666667,7
2014,18,853420,6250,86
2014,19,272310,5250,49
2014,20,852100,5000,85
